scope,source_id,evidence_class,canonical_strategy_id,strategy_id,window_id,transaction_cost_bps_one_way,annual_short_borrow_percent,annual_cash_borrow_percent,observations,elapsed_years,total_return,cagr,annualized_volatility,max_drawdown,annualized_certainty_equivalent_return
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261002,keep_vine_features_zero_cvar_observation__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.603554760297212,0.2928800955324571,0.1873431354321321,0.10305412652227608,0.271977506266476
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261003,keep_vine_features_zero_cvar_observation__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6659544235189996,0.32000874002106094,0.17343890125081418,0.0806187319434356,0.3023725279802616
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261004,keep_vine_features_zero_cvar_observation__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4020118712718972,0.2017874679200915,0.109730760464147,0.052129417491835306,0.19513114520841923
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261005,keep_vine_features_zero_cvar_observation__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7596349044855393,0.3598816042569375,0.17327251926208073,0.08029898179035888,0.34152557943771145
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261006,keep_vine_features_zero_cvar_observation__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,0.8230492837854801,0.38632484530631284,0.18791698583370522,0.07564564611260727,0.36490081846227995
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261007,keep_vine_features_zero_cvar_observation__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5644164205348581,0.27561828379851394,0.1683780859353525,0.09556984721653272,0.2591312568346602
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261008,keep_vine_features_zero_cvar_observation__seed_20261008,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3556712810973568,0.18001428430052657,0.1392047873273606,0.09664781823831103,0.16918029004510715
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261009,keep_vine_features_zero_cvar_observation__seed_20261009,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6032130468545658,0.2927302209569207,0.15741478194928196,0.058583265962800724,0.27866703645359947
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261010,keep_vine_features_zero_cvar_observation__seed_20261010,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6996823553853027,0.3344792491842037,0.1354215212301267,0.07138380306188685,0.3233607949974757
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation_ensemble,keep_vine_features_zero_cvar_observation_ensemble,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6577978350393112,0.3164892615674457,0.13716627894664268,0.0631379679022438,0.30520862285133155
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261001,moving_block_bootstrap_pretraining__seed_20261001,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3052168086351019,0.15591853669277955,0.1644052914743069,0.10877474675356824,0.1410512885475803
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261002,moving_block_bootstrap_pretraining__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5705939562231894,0.27835584296152516,0.15517063954351512,0.07029634128146567,0.26471247006042575
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261003,moving_block_bootstrap_pretraining__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,0.2363492920244894,0.12233242116080789,0.1509400540532336,0.08378292146284405,0.11060590059370123
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261004,moving_block_bootstrap_pretraining__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.34160858346133893,0.17334002522013314,0.15568306826883424,0.0670366749344149,0.16024820350620428
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261005,moving_block_bootstrap_pretraining__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.44187979066972805,0.22025816227964423,0.15945476827842098,0.06935185608298355,0.20611669350998052
