label,alternative_experiment_id,seed,paired_annualized_ce_difference,inference_scope
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261003,-0.3285823606953331,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261004,0.049937254716156954,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261005,0.13787364604229158,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261006,-0.4313682314141878,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261007,-0.6200833121341442,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261008,-0.06670537349169159,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261009,-0.38272346602494167,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261010,-0.17886184454207732,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261001,0.07494630067323427,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261002,-0.08059998953932057,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261003,0.07134802039615407,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261004,0.2125609419983725,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261005,0.04955938557134054,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261006,-0.28427558429782196,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261007,-0.18517777515046374,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261008,0.24376337226094202,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261009,0.029988798758933566,training_randomness_only
NN-vine generator versus temporal bootstrap,moving_block_bootstrap_pretraining,20261010,-0.20080973117335899,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261001,0.10775492222010108,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261002,-0.04129426967804006,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261003,-0.054532869955183694,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261004,0.21507661120420862,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261005,-0.052209949163447344,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261006,-0.22765610975773876,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261007,0.0029058287004324335,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261008,0.04001572266770159,training_randomness_only
