experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,gate_exists,passed,stdout,stderr,operational_source
moving_block_bootstrap_pretraining,20261002,1,0,675.9119183309376,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261002,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261002.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261002.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261003,2,0,685.1234054849483,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261003,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261003.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261003.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261004,3,0,681.6636760139372,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261004,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261004.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261004.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261005,0,0,674.4936059720349,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261005,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261005.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261005.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261006,1,0,676.9625457839575,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261006,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261006.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261006.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261007,2,0,673.5618728550617,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261007,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261007.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261007.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261008,3,0,665.3098752950318,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261008,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261008.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261008.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261009,0,0,672.8169148319867,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261009,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261009.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261009.stderr.txt,v4_report_only
moving_block_bootstrap_pretraining,20261010,1,0,679.6891435270663,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261010,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261010.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261010.stderr.txt,v4_report_only
ppo_lstm_full,20261001,0,0,358.9219410298392,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261001,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261001.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261001.stderr.txt,v3_strict_path
